Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Custom field (Actual Result),Custom field (Development),Custom field (Expected Result),Custom field (Goals),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
Verify that the Forgotten Password link navigates to the password reset page,DG-48,10322,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_18Preconditions:User is on the Login page.Test Steps:Navigate to the Login pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,To Do,23/Apr/26 7:20 PM
Verify that the New Customer Continue button redirects to the Register page,DG-47,10321,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_17Preconditions:User is not logged in. Login page is open.Test Steps:Navigate to the Login pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,To Do,23/Apr/26 7:20 PM
Verify that a user can log in successfully with valid credentials,DG-46,10320,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_16Preconditions:User has a registered account. User is not currently logged in.Test Steps:Navigate to the Login pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when the entire form is submitted empty,DG-45,10319,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_15Preconditions:User is on the Register Account page. No fields have been filled.Test Steps:Navigate to the Register Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when form is submitted without agreeing to Privacy Policy,DG-44,10318,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_14Preconditions:User is on the Register Account page. All fields filled with valid data.Test Steps:Fill all fields with valid dataTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when password is below minimum length,DG-43,10317,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_13Preconditions:User is on the Register Account page.Test Steps:Enter '123' in Password fieldTest Data:123Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when Password Confirm field is empty,DG-42,10316,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_12Preconditions:User is on the Register Account page.Test Steps:Enter a valid password in Password fieldTest Data:Test@1234Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when Password field is empty,DG-41,10315,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_11Preconditions:User is on the Register Account page.Test Steps:Leave Password field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when Password and Confirm Password do not match,DG-40,10314,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_10Preconditions:User is on the Register Account page.Test Steps:Enter 'Test@1234' in Password fieldTest Data:Test@1234Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when Telephone field is empty,DG-39,10313,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_09Preconditions:User is on the Register Account page.Test Steps:Leave Telephone field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when phone field contains non-numeric characters,DG-38,10312,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,23/Apr/26 7:21 PM,,,0,Test ID: TCUA_08Preconditions:User is on the Register Account page.Test Steps:Enter 'abc+xyz' in the Telephone fieldTest Data:abc+xyzExpected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when phone is entered without country code,DG-37,10311,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_07Preconditions:User is on the Register Account page.Test Steps:Enter '01012345678' in the Telephone fieldTest Data:01012345678Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when E-Mail field is empty,DG-36,10310,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_06Preconditions:User is on the Register Account page.Test Steps:Leave E-Mail field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000af:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when registering with an already registered email,DG-35,10309,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_05Preconditions:An account already exists with the email existing@test.com.Test Steps:Enter existing@test.com in the E-Mail fieldTest Data:existing@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when email format is invalid,DG-34,10308,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_04Preconditions:User is on the Register Account page.Test Steps:Enter 'invalidemail' in the E-Mail fieldTest Data:invalidemailExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i0009z:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when First Name contains numbers or special characters,DG-33,10307,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_03Preconditions:User is on the Register Account page.Test Steps:Enter '123!@#' in the First Name fieldTest Data:123!@#Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when Last Name is empty,DG-32,10306,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_02Preconditions:User is on the Register Account page. All other fields are filled with valid data.Test Steps:Leave Last Name field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when First Name is empty,DG-31,10305,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_01Preconditions:User is on the Register Account page. All other fields are filled with valid data.Test Steps:Leave First Name field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,,,To Do,23/Apr/26 7:20 PM
